iter	Passed	Remaining
0	159	159393
1	160	79958
2	160	53434
3	161	40186
4	161	32237
5	162	26932
6	163	23140
7	163	20292
8	164	18101
9	165	16338
10	165	14901
11	166	13701
12	167	12685
13	167	11805
14	168	11051
15	168	10391
16	169	9808
17	170	9287
18	170	8822
19	171	8404
20	172	8022
21	172	7673
22	173	7354
23	173	7062
24	174	6793
25	174	6544
26	175	6314
27	175	6101
28	176	5901
29	176	5716
30	177	5542
31	177	5380
32	178	5229
33	179	5088
34	179	4957
35	180	4841
36	181	4722
37	182	4613
38	182	4504
39	183	4401
40	183	4303
41	184	4210
42	185	4122
43	185	4036
44	186	3955
45	186	3875
46	187	3802
47	188	3729
48	188	3660
49	189	3593
50	189	3529
51	190	3467
52	190	3408
53	191	3351
54	191	3295
55	192	3243
56	192	3191
57	193	3142
58	194	3094
59	194	3049
60	195	3005
61	195	2964
62	196	2925
63	197	2885
64	197	2846
65	198	2812
66	199	2776
67	200	2741
68	200	2706
69	201	2674
70	201	2640
71	202	2607
72	202	2575
73	203	2544
74	203	2514
75	204	2484
76	204	2455
77	205	2428
78	205	2400
79	206	2374
80	207	2349
81	207	2324
82	208	2298
83	208	2277
84	209	2255
85	210	2233
86	210	2213
87	211	2191
88	212	2170
89	212	2149
90	213	2130
91	213	2111
92	214	2092
93	215	2072
94	215	2053
95	216	2034
96	216	2016
97	217	1998
98	217	1980
99	218	1963
100	218	1946
101	219	1930
102	219	1914
103	220	1898
104	220	1883
105	221	1868
106	222	1853
107	222	1838
108	223	1825
109	224	1813
110	224	1800
111	225	1787
112	226	1774
113	226	1761
114	227	1749
115	227	1736
116	228	1723
117	228	1711
118	229	1699
119	230	1688
120	230	1677
121	231	1665
122	231	1653
123	232	1642
124	233	1631
125	233	1619
126	233	1608
127	234	1597
128	235	1586
129	235	1576
130	236	1565
131	236	1555
132	237	1545
133	237	1536
134	238	1528
135	239	1520
136	239	1511
137	240	1503
138	241	1494
139	241	1485
140	242	1477
141	242	1467
142	243	1459
143	244	1451
144	244	1442
145	245	1433
146	245	1425
147	246	1417
